"goalscorer","number_of_away_goals"
"Osama Faisal","6"
"Salah Mohsen","4"
"Emam Ashour","4"
"Nasser Mansy","4"
"Mohamed Helal","4"
"Ahmed Belhadji","3"
"Yaw Annor","3"
"Mohamed Ali Ben Hammouda","3"
"Karim Bambo","3"
"Godwin Chika","2"
"Ahmed Atef","2"
"Abdelkabir El Ouadi","2"
"Ahmed Yasser Rayan","2"
"Fiston Mayele","2"
"Gabriel Chukwudi","2"
"Abdallah El Said","2"
"Ahmed Kendouci","2"
"Mahmoud Mamdouh","2"
"Riga","2"
"Shady Hussein","2"
"Mostafa Fathi","2"
"Karim El Deeb","2"
"Ibrahim Adel","2"
"Abdo Gouda","2"
"Ali Fawzi","2"
"Mostafa Ziko","2"
"Mohamed Hamdi","1"
"Hussein El Shahat","1"
"Tolulope Samuel Ojo","1"
"Rafik Kabou","1"
"Mahmoud Gehad","1"
"Marwan Otaka","1"
"Hossam Ashraf","1"
"Ali Zazaa","1"
"Mohamed Camacho","1"
"Afsha","1"
"Amr Gomaa","1"
"Ahmed Gamal","1"
"Hossam Hassan","1"
"Dokou Dodo","1"
"Yassin El Mallah","1"
"Abdelghani Mohamed","1"
"Abdelrahim Amoory","1"
"Abdo Yehia","1"
"Nejc Gradisar","1"
"Taher Mohamed","1"
"Mahmoud Hamada","1"
"Bekale Aubame","1"
"Amr El Gazar","1"
"Dodo Elgabas","1"
"Rami Rabia","1"
"Walid Farag","1"
"Zizo","1"
"Mahmoud Bentayg","1"
"Favour Akem","1"
"Mohamed Khatary","1"
"Ahmed Farouk","1"
"Mohamed Fakhri","1"
"Islam Hesham","1"
"Mohamed Shehata","1"
"Ahmed Kalosha","1"
"Marwan Ateya","1"
"Emmanuel Apeh","1"
"Mahmoud Saber","1"
"Mohamed Salem","1"
"Islam Issa","1"
"Hamed Hamdan","1"
"Joseph Ngwem","1"
"Azmi Ghouma","1"
"Oufa","1"
"Khaled Sobhi","1"
"Mostafa El Badry","1"
"Yahia Attiyat Allah","1"
"Mahmoud Rizk","1"
"Mohamed Bayoumi","1"
"Emad Fathi","1"
"Mohamed Ashraf Roqa","1"
"Ahmed Reda","1"
"Ahmed Samir","1"
"Osama Galal","1"
"Mohamed Mosaad","1"
"Amr Gamal","1"
"Ahmed Hossam","1"
"Mostafa El Gamal","1"
"Ismaila Bamba","1"
"Hesham Adel","1"
"Marwan Hamdi","1"
"Amr Nasser","1"
"Badr Mousa","1"
"Hazem Mohamed","1"
"Ahmed El Sheikh","1"
"John Ebuka","1"
"Mohamed Abdelghani","1"
"Mohamed El Shami","1"
"Hossam Abdelmaguid","1"
"Emad Mayhoub","1"
"Ragab Nabil","1"
"Mostafa Shalaby","1"
"Ali Gabr","1"
"Gebna","1"
"Abdelrahman El Banouby","1"
"Fagrie Lakay","1"
"Achraf Bencharki","1"
"Dilson","1"
